scenario,label,perturbation_level,edge_count_before,edge_count_after,number_of_trials,pr_auc,roc_auc,balanced_accuracy,recall,f1,probability_shift_mean_absolute
baseline,Baseline graph,0.0,16524,16524,10,0.1865659017773951,0.605814889812545,0.5688177199900528,0.6393939393939394,0.23123287671232876,0.0
remove_5,Remove 5% edges,0.05,16524,15698,10,0.18776595408071906,0.6070280175731524,0.5704538349497319,0.6384848484848484,0.2323027548722049,0.006570183858275414
remove_10,Remove 10% edges,0.1,16524,14872,10,0.19017479526110023,0.6082828874915628,0.5702724785960426,0.6363636363636365,0.2321919396117181,0.010455536469817162
remove_20,Remove 20% edges,0.2,16524,13219,10,0.1901311359445848,0.6072210972562672,0.5696403069380795,0.6293939393939394,0.23182515028858144,0.01657101670280099
noise_5,Add 5% noise edges,0.05,16524,17350,10,0.1866025924661286,0.605480182836572,0.5699056804859852,0.6348484848484848,0.23197622869535497,0.008763234689831733
noise_10,Add 10% noise edges,0.1,16524,18176,10,0.18794398268259982,0.6073941051783959,0.5750351699882766,0.6366666666666667,0.23537020637222303,0.013982008770108223
