scenario,label,perturbation_type,perturbation_level,number_of_trials,metric,n,mean,standard_deviation,median,minimum,maximum,ci_95_lower,ci_95_upper,edge_count_before,mean_edge_count_after
remove_10,Remove 10% edges,edge_removal,0.1,10,probability_shift_mean_absolute,10,0.010455536469817162,0.000339923576179996,0.010509232059121132,0.009962495416402817,0.010850279591977596,0.010212369792088548,0.010698703147545776,16524,14872.0
remove_20,Remove 20% edges,edge_removal,0.2,10,pr_auc,10,0.1901311359445848,0.0024947394693725,0.1905435021638178,0.18539311142538253,0.19333825226328846,0.1883465068365275,0.1919157650526421,16524,13219.0
remove_20,Remove 20% edges,edge_removal,0.2,10,roc_auc,10,0.6072210972562672,0.002774820511808256,0.6061941217568416,0.6042186223311663,0.6131301289566237,0.605236110240267,0.6092060842722673,16524,13219.0
remove_20,Remove 20% edges,edge_removal,0.2,10,balanced_accuracy,10,0.5696403069380795,0.00509712066100415,0.5694003339372624,0.5618760879604959,0.5792727983232087,0.5659940464725743,0.5732865674035847,16524,13219.0
remove_20,Remove 20% edges,edge_removal,0.2,10,recall,10,0.6293939393939394,0.008811647873763397,0.6272727272727272,0.6212121212121212,0.6454545454545455,0.6230904662343053,0.6356974125535735,16524,13219.0
remove_20,Remove 20% edges,edge_removal,0.2,10,f1,10,0.23182515028858144,0.003323260220985555,0.23166861088711255,0.22676991150442477,0.23812185578535494,0.22944783313910308,0.2342024674380598,16524,13219.0
remove_20,Remove 20% edges,edge_removal,0.2,10,probability_shift_mean_absolute,10,0.01657101670280099,0.0004548727345542681,0.016521627083420753,0.015559549443423748,0.017109692096710205,0.01624562035079179,0.016896413054810187,16524,13219.0
noise_5,Add 5% noise edges,noise_addition,0.05,10,pr_auc,10,0.1866025924661286,0.002708141251685683,0.1870886635786047,0.18151848648651808,0.18958969637144654,0.18466530491934333,0.18853988001291386,16524,17350.0
noise_5,Add 5% noise edges,noise_addition,0.05,10,roc_auc,10,0.605480182836572,0.003194941180557617,0.6049986974078416,0.6013014079837058,0.6110258505334707,0.6031946595988336,0.6077657060743105,16524,17350.0
noise_5,Add 5% noise edges,noise_addition,0.05,10,balanced_accuracy,10,0.5699056804859852,0.005446602392658891,0.56883992326548,0.5610465735905361,0.5795676578208817,0.566009415850224,0.5738019451217464,16524,17350.0
noise_5,Add 5% noise edges,noise_addition,0.05,10,recall,10,0.6348484848484848,0.008237124459747534,0.6318181818181818,0.6242424242424243,0.6515151515151515,0.6289560009807189,0.6407409687162506,16524,17350.0
noise_5,Add 5% noise edges,noise_addition,0.05,10,f1,10,0.23197622869535497,0.0035301731040357437,0.23128191356332786,0.22624931356397585,0.23822714681440443,0.2294508949860487,0.23450156240466125,16524,17350.0
noise_5,Add 5% noise edges,noise_addition,0.05,10,probability_shift_mean_absolute,10,0.008763234689831733,0.00039348172465321346,0.008779493160545826,0.008166063576936722,0.009390663355588913,0.008481754820720855,0.009044714558942612,16524,17350.0
noise_10,Add 10% noise edges,noise_addition,0.1,10,pr_auc,10,0.18794398268259982,0.003202382614715294,0.18932796857370146,0.1829522475778389,0.19074254529420695,0.18565313616354623,0.1902348292016534,16524,18176.0
noise_10,Add 10% noise edges,noise_addition,0.1,10,roc_auc,10,0.6073941051783959,0.002392384285563315,0.6068839035134463,0.604051061612609,0.6110169692232998,0.6056826965579402,0.6091055137988516,16524,18176.0
noise_10,Add 10% noise edges,noise_addition,0.1,10,balanced_accuracy,10,0.5750351699882766,0.006608756038262181,0.5733338662119436,0.5650538207396355,0.5876301111940034,0.5703075507163137,0.5797627892602396,16524,18176.0
noise_10,Add 10% noise edges,noise_addition,0.1,10,recall,10,0.6366666666666667,0.012408218294203582,0.6333333333333333,0.6242424242424243,0.6606060606060606,0.6277903620188974,0.645542971314436,16524,18176.0
noise_10,Add 10% noise edges,noise_addition,0.1,10,f1,10,0.23537020637222303,0.004307370203659809,0.2342689479638009,0.22882288228822883,0.2435754189944134,0.23228889935038657,0.23845151339405948,16524,18176.0
noise_10,Add 10% noise edges,noise_addition,0.1,10,probability_shift_mean_absolute,10,0.013982008770108223,0.0005614851451839222,0.014093457255512476,0.012898116372525692,0.014721356332302094,0.013580346493891038,0.014383671046325408,16524,18176.0
