seed,is_primary,selected_epoch,epochs_completed,selected_threshold,training_seconds,pr_auc,roc_auc,balanced_accuracy,precision,recall,f1,confusion_matrix
42,True,40,52,0.4798469841480255,6.957096099999035,0.1865659017773951,0.605814889812545,0.5688177199900529,0.1411371237458194,0.6393939393939394,0.23123287671232876,"[[1275, 1284], [119, 211]]"
52,False,9,21,0.5300499200820923,2.6855362999995123,0.16162656228550326,0.585714116546473,0.5571583359977264,0.14157119476268412,0.5242424242424243,0.22293814432989692,"[[1510, 1049], [157, 173]]"
62,False,31,43,0.4686731994152069,5.8068821000015305,0.1848819131123364,0.6071494546875555,0.5681462929411346,0.13880320789636028,0.6818181818181818,0.23065094823167606,"[[1163, 1396], [105, 225]]"
72,False,27,39,0.4876175820827484,5.090609199996834,0.17938336486664996,0.6019769796440371,0.5699012398308998,0.140139505389981,0.6696969696969697,0.23177766124803356,"[[1203, 1356], [109, 221]]"
82,False,88,100,0.5114434361457825,12.736989500001073,0.1874417074103101,0.6089115066254575,0.5680148495506057,0.14507370054305663,0.5666666666666667,0.23100679431747992,"[[1457, 1102], [143, 187]]"
