model,model_name,metric,estimate,bootstrap_mean,ci_95_lower,ci_95_upper,valid_replicates,invalid_replicates
logistic_regression,Logistic Regression,pr_auc,0.24474592079740273,0.24533108446769353,0.2022195791440293,0.2894137149834075,1000,0
logistic_regression,Logistic Regression,roc_auc,0.6754520586876976,0.674805078861792,0.6409177499011013,0.7074128750992422,1000,0
logistic_regression,Logistic Regression,accuracy,0.7217030114226376,0.7218219869575753,0.7054365607036008,0.7380467685076381,1000,0
logistic_regression,Logistic Regression,balanced_accuracy,0.6264663043092117,0.6262949805973068,0.5975218971054376,0.6551979624108313,1000,0
logistic_regression,Logistic Regression,precision,0.20595533498759305,0.20560900402047516,0.17698920731504203,0.2352272089542932,1000,0
logistic_regression,Logistic Regression,recall,0.503030303030303,0.5025487806209078,0.4479029605263158,0.5590080011455778,1000,0
logistic_regression,Logistic Regression,f1,0.29225352112676056,0.29163632177526644,0.25538692075068586,0.3275745666436102,1000,0
pca_knn,PCA + k-Nearest Neighbours,pr_auc,0.16803523969051393,0.1709242588654414,0.1397814634727971,0.20551224492511158,1000,0
pca_knn,PCA + k-Nearest Neighbours,roc_auc,0.5913442751074638,0.5914622362400348,0.555615038858916,0.6251944076882131,1000,0
pca_knn,PCA + k-Nearest Neighbours,accuracy,0.6033229491173416,0.6036267058372391,0.5859329805752207,0.6197049667868563,1000,0
pca_knn,PCA + k-Nearest Neighbours,balanced_accuracy,0.5754804788802445,0.5757819977359463,0.5469347947544161,0.6054167053568763,1000,0
pca_knn,PCA + k-Nearest Neighbours,precision,0.15187713310580206,0.1518273590585423,0.13136091567783262,0.17277925767067365,1000,0
pca_knn,PCA + k-Nearest Neighbours,recall,0.5393939393939394,0.5397093745870183,0.48692595459236326,0.5932226995892544,1000,0
pca_knn,PCA + k-Nearest Neighbours,f1,0.237017310252996,0.23685918735744144,0.20768428349721338,0.2649845390516315,1000,0
gcn,Graph Convolutional Network,pr_auc,0.1865659017773951,0.18839898109447956,0.15197720080253335,0.2264525798537676,1000,0
gcn,Graph Convolutional Network,roc_auc,0.605814889812545,0.606249422095414,0.5734633440696083,0.6392497043845381,1000,0
gcn,Graph Convolutional Network,accuracy,0.5143648321218415,0.514870099485061,0.49724441170376854,0.5316751613668184,1000,0
gcn,Graph Convolutional Network,balanced_accuracy,0.5688177199900529,0.5695154940661328,0.5423443538779869,0.5973821860490319,1000,0
gcn,Graph Convolutional Network,precision,0.1411371237458194,0.14122272546734024,0.12346146527029561,0.1595262626494901,1000,0
gcn,Graph Convolutional Network,recall,0.6393939393939394,0.6403298985798369,0.586313555665811,0.6918419664830657,1000,0
gcn,Graph Convolutional Network,f1,0.23123287671232876,0.23130996551517985,0.2051549217743711,0.2574931757506674,1000,0
