comparison,left_model,right_model,metric,observed_difference,bootstrap_mean_difference,ci_95_lower,ci_95_upper,proportion_above_zero,two_sided_bootstrap_tail_probability,interval_excludes_zero
logistic_regression_minus_gcn,logistic_regression,gcn,pr_auc,0.058180019020007634,0.05693210337321398,0.024539910767087666,0.09261355516975547,1.0,0.001998001998001998,True
logistic_regression_minus_gcn,logistic_regression,gcn,roc_auc,0.06963716887515259,0.06855565676637784,0.0334598050579807,0.10132670575443889,1.0,0.001998001998001998,True
logistic_regression_minus_gcn,logistic_regression,gcn,accuracy,0.20733817930079612,0.20695188747251422,0.18553027734599056,0.22788338021073837,1.0,0.001998001998001998,True
logistic_regression_minus_gcn,logistic_regression,gcn,balanced_accuracy,0.05764858431915876,0.05677948653117409,0.024283705407890988,0.0884277685865483,1.0,0.001998001998001998,True
logistic_regression_minus_gcn,logistic_regression,gcn,precision,0.06481821124177364,0.06438627855313493,0.04355092949228448,0.08585703503264869,1.0,0.001998001998001998,True
logistic_regression_minus_gcn,logistic_regression,gcn,recall,-0.13636363636363635,-0.1377811179589292,-0.1981888544891641,-0.07756962864721496,0.0,0.001998001998001998,True
logistic_regression_minus_gcn,logistic_regression,gcn,f1,0.06102064441443181,0.060326356260086526,0.03164312591202331,0.08825353594606213,1.0,0.001998001998001998,True
logistic_regression_minus_pca_knn,logistic_regression,pca_knn,pr_auc,0.0767106811068888,0.07440682560225213,0.04152037375036979,0.10740856592359774,1.0,0.001998001998001998,True
logistic_regression_minus_pca_knn,logistic_regression,pca_knn,roc_auc,0.08410778358023385,0.08334284262175717,0.04651333667179214,0.1174519959104553,1.0,0.001998001998001998,True
logistic_regression_minus_pca_knn,logistic_regression,pca_knn,accuracy,0.11838006230529596,0.11819528112033616,0.09810368626630608,0.1388653652359252,1.0,0.001998001998001998,True
logistic_regression_minus_pca_knn,logistic_regression,pca_knn,balanced_accuracy,0.050985825428967235,0.05051298286136044,0.017934731030273175,0.08190006181982007,1.0,0.001998001998001998,True
logistic_regression_minus_pca_knn,logistic_regression,pca_knn,precision,0.054078201881790994,0.053781644961932856,0.03269581308856319,0.0750626311997262,1.0,0.001998001998001998,True
logistic_regression_minus_pca_knn,logistic_regression,pca_knn,recall,-0.036363636363636376,-0.037160593966110454,-0.09806427363277578,0.024853854585312314,0.106,0.26173826173826176,False
logistic_regression_minus_pca_knn,logistic_regression,pca_knn,f1,0.05523621087376457,0.0547771344178249,0.025550397107425217,0.08422061553930142,1.0,0.001998001998001998,True
gcn_minus_pca_knn,gcn,pca_knn,pr_auc,0.018530662086881172,0.017474722229038148,-0.01661013502759189,0.048517258201355586,0.86,0.2817182817182817,False
gcn_minus_pca_knn,gcn,pca_knn,roc_auc,0.014470614705081264,0.014787185855379335,-0.02476447873348619,0.05567415130303324,0.771,0.4595404595404595,False
gcn_minus_pca_knn,gcn,pca_knn,accuracy,-0.08895811699550016,-0.08875660635217805,-0.11196422519688333,-0.06469831579814285,0.0,0.001998001998001998,True
gcn_minus_pca_knn,gcn,pca_knn,balanced_accuracy,-0.0066627588901915225,-0.006266503669813638,-0.04264603734883377,0.03086200725930741,0.362,0.7252747252747253,False
gcn_minus_pca_knn,gcn,pca_knn,precision,-0.01074000935998265,-0.01060463359120207,-0.02766072742563581,0.006040886050720591,0.111,0.22377622377622378,False
gcn_minus_pca_knn,gcn,pca_knn,recall,0.09999999999999998,0.10062052399281875,0.03435403963414628,0.1724165473173956,0.999,0.003996003996003996,True
gcn_minus_pca_knn,gcn,pca_knn,f1,-0.005784433540667239,-0.00554922184226163,-0.03227028971704626,0.021588560615285177,0.337,0.6753246753246753,False
