status,components,explained_variance,selected_neighbors,validation_threshold,validation_pr_auc,validation_roc_auc,validation_balanced_accuracy,validation_recall,validation_f1,runtime_seconds
completed,25,0.36349785327911377,31,0.09732656263102674,0.16372983150277415,0.5980465806546471,0.576263875870688,0.6577380952380952,0.23687031082529475,1.6221506000001682
completed,50,0.5700053572654724,15,0.12649392297772555,0.18277933933983784,0.5955378967488192,0.5798390950359302,0.5595238095238095,0.24102564102564103,0.6137787999978173
completed,75,0.7601435780525208,31,0.15955549340248823,0.18227251723832788,0.5861682380401021,0.5683087978533752,0.30952380952380953,0.23423423423423423,0.7957392999996955
completed,100,0.9284363389015198,31,0.12839234041274045,0.17500074185037878,0.5958882395103932,0.5833028937163441,0.46726190476190477,0.2468553459119497,0.8555859999978566
