rank_by_test_pr_auc,model,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,recall,f1,threshold,training_seconds,inference_seconds
1,Logistic Regression,0.6754520586876976,0.24474592079740273,0.7217030114226376,0.6264663043092117,0.20595533498759305,0.503030303030303,0.29225352112676056,0.5338888332109268,1.3953728000014962,0.0422340000004624
2,Graph Convolutional Network,0.605814889812545,0.1865659017773951,0.5143648321218415,0.5688177199900529,0.1411371237458194,0.6393939393939394,0.23123287671232876,0.4798469841480255,6.957096099999035,0.009846900000411551
3,PCA + k-Nearest Neighbours,0.5913442751074638,0.16803523969051393,0.6033229491173416,0.5754804788802445,0.15187713310580206,0.5393939393939394,0.237017310252996,0.12649392297772555,4.269077999997535,0.10293580000143265
