scenario,label,perturbation_type,perturbation_level,trial_seed,derived_seed,node_count,edge_count_before,edge_count_after,probability_shift_mean_absolute,threshold,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,support,positive_support
remove_10,Remove 10% edges,edge_removal,0.1,50,20050,2889,16524,14872,0.010850279591977596,0.4798469841480255,0.6105101424562152,0.19286784200399498,0.5212876427829699,0.5727254964652386,0.1430508474576271,0.6393939393939394,0.2337950138504155,"[[1295, 1264], [119, 211]]",2889,330
remove_10,Remove 10% edges,edge_removal,0.1,51,20051,2889,16524,14872,0.010030070319771767,0.4798469841480255,0.6100944971402182,0.19042798391689658,0.5157493942540672,0.5682795125936978,0.14103425117528542,0.6363636363636364,0.23089609675645958,"[[1280, 1279], [120, 210]]",2889,330
remove_20,Remove 20% edges,edge_removal,0.2,42,30042,2889,16524,13219,0.016451407223939896,0.4798469841480255,0.6061452745509017,0.1878903552340349,0.5233644859813084,0.5672990159508331,0.14119259766963674,0.6242424242424243,0.23029625489100056,"[[1306, 1253], [124, 206]]",2889,330
remove_20,Remove 20% edges,edge_removal,0.2,43,30043,2889,16524,13219,0.016508977860212326,0.4798469841480255,0.6087776948855494,0.19141270253452627,0.5219799238490828,0.5704767487299727,0.14227365554799182,0.6333333333333333,0.23235130628126738,"[[1299, 1260], [121, 209]]",2889,330
remove_20,Remove 20% edges,edge_removal,0.2,44,30044,2889,16524,13219,0.01652020402252674,0.4798469841480255,0.6057254846234916,0.1915217703861526,0.5275181723779855,0.5683239191445522,0.14186851211072665,0.6212121212121212,0.23098591549295774,"[[1319, 1240], [125, 205]]",2889,330
remove_20,Remove 20% edges,edge_removal,0.2,45,30045,2889,16524,13219,0.017091188579797745,0.4798469841480255,0.6131301289566237,0.19171589754673202,0.5282104534440983,0.5792727983232087,0.14599040438656613,0.6454545454545455,0.23812185578535494,"[[1313, 1246], [117, 213]]",2889,330
remove_20,Remove 20% edges,edge_removal,0.2,46,30046,2889,16524,13219,0.015559549443423748,0.4798469841480255,0.6066106552038557,0.18967430179310932,0.5160955347871236,0.5618760879604959,0.13870094722598106,0.6212121212121212,0.22676991150442477,"[[1286, 1273], [125, 205]]",2889,330
remove_20,Remove 20% edges,edge_removal,0.2,47,30047,2889,16524,13219,0.017109692096710205,0.4798469841480255,0.6042186223311663,0.18804953485957127,0.5250951886465905,0.5709154854524139,0.14266117969821673,0.6303030303030303,0.232662192393736,"[[1309, 1250], [122, 208]]",2889,330
remove_20,Remove 20% edges,edge_removal,0.2,48,30048,2889,16524,13219,0.016523050144314766,0.4798469841480255,0.6062429689627815,0.19281914869397662,0.5209415022499134,0.565931294184518,0.14051841746248295,0.6242424242424243,0.22939866369710468,"[[1299, 1260], [124, 206]]",2889,330
remove_20,Remove 20% edges,edge_removal,0.2,49,30049,2889,16524,13219,0.016321644186973572,0.4798469841480255,0.6053418120241099,0.18539311142538253,0.5216337833160263,0.5650023091406444,0.140218878248974,0.6212121212121212,0.22879464285714285,"[[1302, 1257], [125, 205]]",2889,330
